NNID;DATUM;OBA;NAME;AGS;ARS;RS;HOEHE;HOEHE_GER;EWZ;EWZ_GER;GEWK;GEMTEIL;VIRTUELL;GEMEINDE;VERWGEM;RECHTS;HOCH
DEBKGGND0000194G;30.10.2020;AX_Gemeinde;Bernburg (Saale);15089030;150890030030;150890030030;;;32573;;;Nein;Nein;Bernburg (Saale);Bernburg (Saale);688752.5776905934;5741714.040312811
DEBKGGND0000194J;30.10.2020;AX_Gemeinde;Seukendorf;9573126;95735517126;95735517126;;;3153;;;Nein;Nein;Seukendorf;Veitsbronn;635937.4181981888;5483332.438380153
DEBKGGND0000194K;30.10.2020;AX_Gemeinde;Utendorf;16066079;160665014079;160665014079;;;439;;;Nein;Nein;Utendorf;Dolmar-SalzbrÅcke;601871.5080308839;5607227.496798855
DEBKGGND0000194M;30.10.2020;AX_Gemeinde;Wei·enthurm;7137228;71375008228;71375008228;;;9157;;;Nein;Nein;Wei·enthurm;Wei·enthurm;390249.1744839688;5585992.846682983
DEBKGGND0000194N;30.10.2020;AX_Gemeinde;Blankenheim;5366008;53660008008;53660008008;;;8268;;;Nein;Nein;Blankenheim;Blankenheim;332786.59356111067;5590104.188246077
DEBKGGND0000194O;30.10.2020;AX_Gemeinde;Weisweil;8316049;83165004049;83165004049;;;2144;;;Nein;Nein;Weisweil;Kenzingen-Herbolzheim;401735.76737572683;5339061.477964202
DEBKGGND0000194P;30.10.2020;AX_Gemeinde;Tunau;8336089;83365006089;83365006089;;;185;;;Nein;Nein;Tunau;Schînau im Schwarzwald;419374.35423999786;5293103.75671598
DEBKGGND0000194Q;30.10.2020;AX_Gemeinde;Dîrpling;1051023;10515169023;10515169023;;;618;;;Nein;Nein;Dîrpling;Kirchspielslandgemeinden Eider;519667.1760421342;6012564.844110265
DEBKGGND0000194S;30.10.2020;AX_Gemeinde;Wiesenbach;9774189;97745731189;97745731189;;;994;;;Nein;Nein;Wiesenbach;Krumbach (Schwaben);597371.6973154887;5350882.844867612
DEBKGGND0000194T;30.10.2020;AX_Gemeinde;Kottgeisering;9179131;91795132131;91795132131;;;1608;;;Nein;Nein;Kottgeisering;Grafrath;658648.2768376188;5331741.9097097805
DEBKGGND0000194U;30.10.2020;AX_Gemeinde;Trossin;14730320;147305303320;147305303320;;;1243;;;Nein;Nein;Trossin;Dommitzsch;764742.9870577898;5725524.825479372
DEBKGGND0000194V;30.10.2020;AX_Gemeinde;Niederzissen;7131055;71315004055;71315004055;;;2722;;;Nein;Nein;Niederzissen;Brohltal;373757.8510702573;5590954.9655355
DEBKGGND0000194X;30.10.2020;AX_Gemeinde;Arnstorf;9277111;92770111111;92770111111;;;7148;;;Nein;Nein;Arnstorf;Arnstorf;781641.1050502835;5385703.77771945
DEBKGGND0000194Y;30.10.2020;AX_Gemeinde;Riesweiler;7140127;71405005127;71405005127;;;725;;;Nein;Nein;Riesweiler;Rheinbîllen;396500.5904044745;5535167.012359065
DEBKGGND0000194Z;10.01.2018;AX_Gemeinde;Boffzen;3255501;32559501501;32559501501;;;0;;;Nein;Nein;Boffzen;Boffzen;530130.6112183045;5731739.989379723
DEBKGGND00001950;30.10.2020;AX_Gemeinde;Walpertskirchen;9177142;91775121142;91775121142;;;2152;;;Nein;Nein;Walpertskirchen;Hîrlkofen;721130.6206325968;5349248.509950036
DEBKGGND00001951;30.10.2020;AX_Gemeinde;Jemgum;3457012;34570012012;34570012012;;;3629;;;Nein;Nein;Jemgum;Jemgum;392132.6525268856;5902976.350514244
DEBKGGND00001954;30.10.2020;AX_Gemeinde;Trunkelsberg;9778202;97785765202;97785765202;;;1707;;;Nein;Nein;Trunkelsberg;Memmingerberg;590931.3329257834;5317341.633924969
DEBKGGND00001955;30.10.2020;AX_Gemeinde;Oberaurach;9674159;96740159159;96740159159;;;3954;;;Nein;Nein;Oberaurach;Oberaurach;619166.8219633735;5531747.260400819
DEBKGGND00001957;30.10.2020;AX_Gemeinde;Rodenbach;7335040;73355009040;73355009040;;;3195;;;Nein;Nein;Rodenbach;Weilerbach;402430.6512600728;5480962.851386248
DEBKGGND00001958;30.10.2020;AX_Gemeinde;LÅssow;13072069;130725255069;130725255069;;;914;;;Nein;Nein;LÅssow;GÅstrow-Land;706794.2218881188;5970163.902976488
DEBKGGND0000195A;30.10.2020;AX_Gemeinde;GlÅsing;1051036;10515169036;10515169036;;;111;;;Nein;Nein;GlÅsing;Kirchspielslandgemeinden Eider;514092.7776183366;6014090.202014887
DEBKGGND0000195B;12.12.2018;AX_Gemeinde;St. Bernhard;16069047;160695002047;160695002047;;;256;;;Nein;Nein;St. Bernhard;Feldstein;613340.7602921746;5591100.673853158
DEBKGGND0000195C;30.10.2020;AX_Gemeinde;Bilshausen;3159005;31595402005;31595402005;;;2190;;;Nein;Nein;Bilshausen;Gieboldehausen;580196.8386516612;5720577.923861323
DEBKGGND0000195E;18.02.2020;AX_Gemeinde;Lîllbach;7133060;71335005060;71335005060;;;201;;;Nein;Nein;Lîllbach;Meisenheim;398514.053496895;5505056.369631572
DEBKGGND0000195F;30.10.2020;AX_Gemeinde;Gessertshausen;9772148;97725708148;97725708148;;;4362;;;Nein;Nein;Gessertshausen;Gessertshausen;628506.1705421989;5354579.263641707
DEBKGGND0000195G;30.10.2020;AX_Gemeinde;Nohfelden;10046114;100460114114;100460114114;;;9878;;;Nein;Nein;Nohfelden;Nohfelden;365787.85272916174;5494341.826575045
DEBKGGND0000195H;30.10.2020;AX_Gemeinde;Uslar;3155012;31550012012;31550012012;;;14115;;;Nein;Nein;Uslar;Uslar;543921.5602072824;5723515.878699404
DEBKGGND0000195I;30.10.2020;AX_Gemeinde;Ohmbach;7336076;73365009076;73365009076;;;796;;;Nein;Nein;Ohmbach;Oberes Glantal;380425.8004164523;5478647.078855002
DEBKGGND0000195J;30.10.2020;AX_Gemeinde;Kassel;6611000;66110000000;66110000000;;;202137;;;Nein;Nein;Kassel;Kassel;534512.24708786;5684936.304942676
DEBKGGND0000195L;30.10.2020;AX_Gemeinde;Haiming;9171118;91710118118;91710118118;;;2515;;;Nein;Nein;Haiming;Haiming;788775.7483194859;5347281.528044474
DEBKGGND0000195M;30.10.2020;AX_Gemeinde;Zusamaltheim;9773188;97735718188;97735718188;;;1212;;;Nein;Nein;Zusamaltheim;Wertingen;620740.2609243413;5376505.3981466275
