Wethau;3044.334;3978.988
Westönnen;329.8057;4409.414
Westlich B9;578.9072;2101.797
Westhofen (Westf);18.27002;4259.617
Westheim-Langendorf;1712.917;2817.125
Westheim (Westf);988.1484;4334.305
Westheim (Schwab);2394.656;893.0938
Westhausen;1917.811;1434.32
Westewitz-Hochweitzschen;3866.095;4014.395
Westerwalsede;1280.765;6043.055
Westerstetten;1745.485;1037.266
Westerstede-Ocholt;305.9375;6239.199
Westerland (Sylt);608.9233;8130.594
Westerkappeln;281.8423;5253.59
Westerholt;-280.9934;4470.234
Westerhausen (Kr Melle);555.1299;5162.117
Westerham;3162.894;380.875
Westerende (Ostfriesl);-34.11377;6719.004
Westeregeln;2702.63;4873.973
Westerburg;317.415;3297.934
Westendorf;2409.235;1099.918
Westend;173.771;6869.223
Westbevern;188.9375;4939.777
Westbarthausen;524.6045;5006.184
Weßling (Oberbay);2725.284;559.5273
Wesseln;1757.516;4990.238
Wesseling-Berzdorf;-381.394;3617.063
Wesseling Süd;-359.7444;3593.309
Wesseling Nord;-379.3152;3615.797
Wesseling;-373.0176;3605.008
Wesselburen;1006.778;7351.922
Wesenberg;3690.416;6401.559
Weselsdorf;2679.99;6432.043
Wesel-Feldmark;-600.7825;4565.84
Wesel;-592.0725;4541.488
Werther;2258.819;4321.023
Wertheim-Bestenheid;1408.895;2435.555
Wertheim;1418.57;2407.391
Wertach-Haslach;2146.664;46.20703
Wersen;329.5942;5252.5
Werschweiler;-231.3379;2073.582
Wernshausen;2004.336;3482.563
Wernigerode-Hasserode;2250.759;4710.695
Wernigerode Westerntor;2275.824;4727.082
Wernigerode Hochschule Harz;2265.799;4717.648
Wernigerode Elmowerk;2267.87;4732.266
Wernigerode;2281.455;4734.063
Wernfeld;1572.418;2707.98
Werneuchen;4253.966;5711.113
Werne (a d Lippe);96.84448;4538.23
Wernberg;3323.363;2209.563
Wernau (Neckar);1355.542;1223.965
Werlte;152.8979;5850.34
Werlau;109.7522;2865.328
Werlaburgdorf;2102.689;4959.793
Werl;297.6162;4410.688
Werksbahnhof Dow Chemical;1385.117;6703.449
Werftpfuhl;4287.043;5735.023
Werdorf;638.0894;3333.305
Werdohl;182.8511;4080.266
Werder (Havel);3721.398;5405.895
Werder (bei Neuruppin);3545.334;5975.57
Werder (bei Jüterbog);3879.516;5002.039
Werdau West;3422.721;3545.988
Werdau Nord;3427.346;3553.055
Werdau;3425.3;3534.305
Werbig (Bahnsteig unten);4712.173;5661.965
Werbig (Bahnsteig oben);4711.128;5663.766
Werbig;4719.813;5662.23
Werbeln;-558.2664;1859.773
Wensickendorf;4008.963;5823.965
Wennigsen (Deister);1439.032;5208.75
Wennemen;486.0068;4178.105
Wennedach;1721.385;585.3555
Wengern Ost;-97.93604;4241.5
Wendlingen (Neckar);1323.722;1197.023
Wendisch Rietz;4471.025;5244.41
Wendisch Priborn;3222.931;6439.039
Wendisch Evern;2025.467;6260.875
Wendezelle;2003.739;5268.91
Wenden-Bechtsbüttel;2086.343;5277.742
Wendelstein;3309.63;162.8477
Wendelsheim;329.4082;2418.129
Wemmetsweiler-Gennweiler;-366.5325;1990.129
Wemmetsweiler Rathaus;-340.5742;1988.934
Wemmetsweiler;-346.3594;1989.055
Welzheim;1511.066;1423.617
Welver-Ramesohl;350.1304;4536.152
Welver;327.9629;4474.578
Welsow-Bruchhagen;4386.178;6205.652
Welschneureuter Straße;592.1733;1612.203
Welschingen-Neuhausen;877.1602;264.2773
Welschen-Ennest;348.9072;3833.715
Welsau;3805.905;4504.234
Wellmitz;4965.735;5121.719
Wellendorf (Kr Osnabrück);460.8657;5101.582
Wellen (Mosel);-795.8035;2337.742
Wellen (bei Magdeburg);2713.112;5075.555
Welkers;1564.365;3208.395
Welgesheim-Zotzenheim;298.9971;2543.699
Weizern-Hopferau;2266.178;34.15234
Weizen;657.4849;194.6094
Weixdorf Bad;4407.249;4049.234
Weixdorf;4409.935;4060.523
Weiterstadt;747.606;2572.652
Weitefeld;286.2798;3481.879
Weißwasser Teichstraße;4966.551;4504.734
Weißwasser Ost;4972.654;4510.648
Weißwasser (Oberlausitz);4959.948;4497.27
Weißkeißel;5022.325;4437.754
Weißig (bei Großenhain);4131.486;4197.168
Weißer See;3681.095;6396.344
Weißenthurm;-52.27905;3153.074
Weißensee (Thür);2495.969;4014.766
Weißenohe;2672.445;2284.742
Weißenhorn Eschach;1889.983;789.9219
Weißenhorn;1903.419;794.5156
Weißenfels West;3106.102;4041.813
Weißenfels;3124.48;4053.824
Weißenburg (Bay);2486.055;1613.355
Weißenau;1494.454;189.5703
Weißandt-Gölzau;3143.624;4572.094
Weissach;1002.048;1391.469
Weisenheim (Sand);508.3613;2134.305
Weisenbach;575.9995;1258.617
Weisen;2917.891;6073.813
Weischlitz;3221.645;3217.414
Weinsberg West;1248.813;1729.047
Weinsberg;1258.416;1725.43
Weinheim OEG;807.0649;2168.867
Weinheim (Bergstr) Hbf;806.334;2177.109
Weingarten/Berg;1511.578;246.5273
Weingarten (Baden);699.3291;1627.992
Weine;717.2197;4387.152
Weinböhla Haltepunkt;4237.943;4059.785
Weinböhla;4243.547;4069.98
Weimar West;2671.328;3796.234
Weimar Berkaer Bf;2671.791;3787.703
Weimar;2681.646;3800.309
Weilheim (Oberbay);2652.519;299.25
Weilerswist-Derkum;-492.3345;3478.828
Weilerswist;-471.0771;3528.305
Weiler (Rems);1417.069;1340.129
Weiler (Brohltalbahn);-187.2263;3195.91
Weilburg;529.6016;3216.527
Weilbach in Unterfranken;1203.071;2304.598
Weilbach;2113.885;598.9922
Weil im Schönbuch Untere Halde;1094.962;1138.715
Weil im Schönbuch Troppel;1079.731;1139.449
Weil im Schönbuch Röte;1085.677;1138.563
Weil der Stadt;955.2334;1289.195
Weil am Rhein Pfädlistraße;-8.7;-11.4
Weil am Rhein Ost;9.8;-5.4
Weil am Rhein Gartenstadt;-29;-13.2
Weil am Rhein;-40.7;-5.4
Weikersheim;1701.323;2096.363
Weihmichl;3290.376;1163.754
Weiherhof;2446.341;2090.305
Weiherhammer;3260.371;2307.148
Weiershagen;-10.97437;3763.992
Weiding;3797.771;1913.734
